,AHRI Certified Reference Number,Model Status,Manufacturer,Model Number,Indoor Unit Model Number,AHRI Type,unit cooling BTUH,Equipment EER,Equipment SEER/IEER,Full Load Indoor Coil Air Quantity (scfm)
0,3243059,Active,rheem,RAWL-150D,RHGL-180Z,RCU-A-CB,146000.0,11.1,14.6,5000.0
1,3243060,Active,rheem,RAWL-150Y,RHGL-180Y,RCU-A-CB,146000.0,10.18,12.0,5000.0
2,3243064,Active,rheem,RAWL-240C,RHGL-240Z,RCU-A-CB,224000.0,8.99,11.6,6900.0
3,3243065,Active,rheem,RAWL-240D,RHGL-240Z,RCU-A-CB,214000.0,8.99,11.6,6900.0
4,3243066,Active,rheem,RAWL-240Y,RHGL-240Y,RCU-A-CB,240000.0,10.0,11.6,6900.0
7,3314945,Active,daikin,RCS12F150C,MHGL180Z,RCU-A-CB,146000.0,11.1,14.6,5000.0
8,3314946,Active,ruud,RAWL-150C,RHGL-180Z,RCU-A-CB,142000.0,11.0,12.4,5000.0
9,3314950,Active,daikin,RCS12F150D,MHGL180Z,RCU-A-CB,146000.0,11.1,14.6,5000.0
10,3314951,Active,ruud,RAWL-150D,RHGL-180Z,RCU-A-CB,146000.0,11.1,14.6,5000.0
11,3314955,Active,daikin,RCS12F150Y,MHGL180Y,RCU-A-CB,146000.0,10.18,12.0,5000.0
12,3314956,Active,ruud,RAWL-150Y,RHGL-180Y,RCU-A-CB,146000.0,11.1,14.6,5000.0
13,3314960,Active,daikin,RCS15F180C,MHGL180Z,RCU-A-CB,174000.0,11.0,13.0,5100.0
14,3314961,Active,ruud,RAWL-180C,RHGL-180Z,RCU-A-CB,174000.0,11.0,13.0,5100.0
15,3314965,Active,daikin,RCS15F180D,MHGL180Z,RCU-A-CB,174000.0,11.0,13.0,5100.0
16,3314966,Active,ruud,RAWL-180D,RHGL-180Z,RCU-A-CB,174000.0,11.0,13.0,5100.0
17,3314970,Active,daikin,RCS15F180Y,MHGL180Y,RCU-A-CB,174000.0,10.28,13.0,5100.0
18,3314971,Active,ruud,RAWL-180Y,RHGL-180Y,RCU-A-CB,174000.0,11.0,13.0,5100.0
19,3314975,Active,daikin,RCS20F240C,MHGL240Z,RCU-A-CB,224000.0,8.99,11.6,6900.0
20,3314976,Active,ruud,RAWL-240C,RHGL-240Z,RCU-A-CB,240000.0,10.0,11.6,6900.0
21,3314980,Active,daikin,RCS20F240D,MHGL240Z,RCU-A-CB,214000.0,8.99,11.6,6900.0
22,3314981,Active,ruud,RAWL-240D,RHGL-240Z,RCU-A-CB,240000.0,10.0,11.6,6900.0
23,3314985,Active,daikin,RCS20F240Y,MHGL240Y,RCU-A-CB,240000.0,10.0,11.6,6900.0
24,3314986,Active,ruud,RAWL-240Y,RHGL-240Y,RCU-A-CB,240000.0,10.0,11.6,6900.0
25,3316015,Active,rheem,RLNL-B180C,,SPY-A,172000.0,11.0,12.4,5900.0
26,3316016,Active,rheem,RLNL-B180D,,SPY-A,172000.0,11.0,12.4,5900.0
27,3316017,Active,rheem,RLNL-B180Y,,SPY-A,172000.0,11.0,12.4,5900.0
