F_Measure_Type_Name__c,F_Equipment_Name_Proposed__c,I_EER_MC04__c,P_Cooling_Hrs_mc4__c,i_Qty_Prop_Equip_mc__c,i_SEER_MC04__c,i_unit_cooling_BTUH__c,i_unit_cooling_tons_mc__c,County__c,Customer_Therms__c,Customer_kW__c,Customer_kWh__c,Electric_Rebate__c,F_COOL_SEER_Cost__c,F_COOL_SEER_MN_PCkW__c,F_COOL_SEER_MN_Rebate__c,F_COOL_SEER_MN_kW__c,F_Centrifugal_Chiller_PCkW__c,F_Centrifugal_Chiller_Rebate__c,F_Centrifugal_Chiller_kW__c,F_Centrifugal_Chiller_kWh__c,F_Cool_Cost_mc4__c,F_Cool_EER_SEER_MC_PCKW__c,F_Cool_EER_SEER_MC_Rebate__c,F_Cool_EER_SEER_MC_kW__c,F_Cool_EER_SEER_MC_kWh__c,F_Cool_FLV_IPLV_mc4_Rebate__c,F_County_Zone__c,F_County_to_Zone_MC4__c,F_Equip_Building_Type__c,F_MSHP_EER_Eff__c,F_MSHP_EER_Std__c,F_MSHP_Total_kWh__c,F_MSHP_Total_v3_kWh__c,F_Measure_Name__c,F_Mini_Split_Cool_PCkW__c,F_Mini_Split_Cooling_kW__c,F_Net_Gen_kW__c,F_Net_Gen_kWh__c,F_Net_Therms__c,F_Products_Name__c,F_Program_Name__c,F_VFD_Chiller_mc4_PCkW__c,F_VFD_Chiller_mc4_Rebate__c,F_VFD_Chiller_mc4_kW__c,F_VFD_Chiller_mc4_kWh__c,F_kAdj_Value__c,F_k_Adj_2012__c,F_k_Adj_2015__c,Gas_Rebate__c,I_AHRI__c,I_EER__c,I_Invoice_Cost__c,I_Mark_Seg__c,I_Qty_Prop_Equip__c,I_SEER_IEER__c,I_Unit_Tons__c,Increm_Electric_Capital_Cost__c,Increm_Gas_Capital_Cost__c,LastModifiedById,LastModifiedDate,LastReferencedDate,LastViewedDate,Line_Item_Number__c,Measure_Name__c,Online_Application_Measure__c,PC_kW_Customer__c,Uncapped_Electric_Rebate__c,Uncapped_Gas_Rebate__c,Units_Electric__c,Units_Gas__c,county__c,eo3__Completion_Date__c,eo3__Eligible_Equipment_Type_1__c,AF_Date__c,Name,i_Facility_Type__c
Cool EER-SEER,MN - RTUS - 5.42 - 11.24 tons,12.8,563,2,19.1,,7.42,,,2.277,3703,4704.28,5639.2,2.048931818,3813.88,2.276590909,,,,,5639.2,2.048931818,4704.28,2.276590909,3702.535602,742,MN1,MN3,Education - Secondary,12.8,,,,DX Units >= 5.42 Tons,,,2.20323,3964.67,0,MN - HVAC+R Cooling - Prescriptive,HVAC+R Systems - MN,0,742,0,0,,0,0,,FALSE,,,,2,,,5639.2,,005U0000000IUR7IAO,1.61048E+12,,,2,DX Units >= 5.42 Tons,,2.049,4704.28,0,2,0,Hennepin MN3,2019-09-13,,2021-01-13,OID4327679-0002,Education - Secondary
Cool EER-SEER,MN - RTUS - 5.42 - 11.24 tons,12,563,1,13,,7.42,,,0.675,620,756.84,2819.6,0.607090909,549.08,0.674545455,,,,,2819.6,0.607090909,756.84,0.674545455,619.7330769,371,MN1,MN3,Education - Secondary,12,,,,DX Units >= 5.42 Tons,,,0.65269,663.81,0,MN - HVAC+R Cooling - Prescriptive,HVAC+R Systems - MN,0,371,0,0,,0,0,,FALSE,,,,1,,,2819.6,,005U0000000IUR7IAO,1.61048E+12,,,3,DX Units >= 5.42 Tons,,0.607,756.84,0,1,0,Hennepin MN3,2019-09-13,,2021-01-13,OID4327679-0003,Education - Secondary
Cool SEER - MN,MN - RTUS < 5.42 tons,12,563,1,16,,3.92,,,0.337,382,466.48,901.6,0.303312217,466.48,0.337013575,,,,,901.6,0.303312217,466.48,0.337013575,381.9738462,196,MN1,MN3,Education - Secondary,12,,,,DX Units < 5.42 Tons,,,0.32581,408.99,0,MN - HVAC+R Cooling - Prescriptive,HVAC+R Systems - MN,0,196,0,0,,0,0,,FALSE,,,,1,,,901.6,,005U0000000IUR7IAO,1.61048E+12,,,1,DX Units < 5.42 Tons,,0.303,466.48,0,1,0,Hennepin MN3,2019-09-13,Cool EER-SEER,2021-01-13,OID4327679-0001,Education - Secondary
Cool EER-SEER,MN - RTUS - 11.25 - 19.99 tons,12,652,2,13,,16.5,,,3.667,3611,3729,4620,3.3,2541,3.666666667,,,,,4620,3.3,3729,3.666666667,3611.076923,1650,MN1,MN3,Restaurant,12,,,,DX Units >= 5.42 Tons,,,3.5893,3868.24,0,MN - HVAC+R Cooling - Prescriptive,HVAC+R Systems - MN,0,1650,0,0,,0,0,,TRUE,,,,2,,,4620,,005U0000000HtWKIA0,1.61509E+12,,,2,DX Units >= 5.42 Tons,,3.3,3729,0,2,0,Washington MN3,2021-03-05,,2021-12-31,OID4484533-0002,Restaurant
Cool EER-SEER,MN - RTUS - 20 - 63.33 tons,11.6,652,1,12.5,,25,,,4.75,4110,2325,3125,4.275158339,1625,4.750175932,,,,,3125,4.275158339,2325,4.750175932,4109.575758,1250,MN1,MN3,Restaurant,11.6,,,,DX Units >= 5.42 Tons,,,4.64977,4402.79,0,MN - HVAC+R Cooling - Prescriptive,HVAC+R Systems - MN,0,1250,0,0,,0,0,,TRUE,,,,1,,,3125,,005U0000000HtWKIA0,1.61509E+12,,,1,DX Units >= 5.42 Tons,,4.275,2325,0,1,0,Washington MN3,2021-03-05,,2021-12-31,OID4484533-0001,Restaurant
Cool SEER - MN,MN - RTUS < 5.42 tons,12.8,652,1,18,,3,,,0.445,502,537,690,0.400876697,537,0.445418552,,,,,690,0.400876697,537,0.445418552,501.5384615,150,MN1,MN3,Restaurant,12.8,,,,DX Units < 5.42 Tons,,,0.43615,537.76,0,MN - HVAC+R Cooling - Prescriptive,HVAC+R Systems - MN,0,150,0,0,,0,0,,TRUE,,,,1,,,690,,005U0000000HtWKIA0,1.61509E+12,,,3,DX Units < 5.42 Tons,,0.401,537,0,1,0,Washington MN3,2021-03-05,Cool EER-SEER,2021-12-31,OID4484533-0003,Restaurant
Cool EER-SEER,MN - RTUS - 11.25 - 19.99 tons,11.2,754,1,12.6,,15.33,,,0.608,1601,1057.77,2146.2,0.5475,996.45,0.608333333,,,,,2146.2,0.5475,1057.77,0.608333333,1601.221818,766.5,MN1,MN3,Lodging,11.2,,,,DX Units >= 5.42 Tons,,,0.59604,1715.05,0,MN - HVAC+R Cooling - Prescriptive,HVAC+R Systems - MN,0,766.5,0,0,,0,0,,TRUE,,,,1,,,2146.2,,005U0000000HtWKIA0,1.61492E+12,,,3,DX Units >= 5.42 Tons,,0.548,1057.77,0,1,0,Ramsey MN3,2021-03-03,,2021-10-28,OID4359895-0003,Lodging
Cool SEER - MN,MN - RTUS < 5.42 tons,,589,1,14,,4.88,,,0.379,190,287.92,1122.4,0.340685197,287.92,0.378539108,,,,,1122.4,,287.92,,189.5156044,244,MN1,MN3,Manufacturing,,,,,DX Units < 5.42 Tons,,,0.37089,203.54,0,MN - HVAC+R Cooling - Prescriptive,HVAC+R Systems - MN,0,244,0,0,,0,0,,TRUE,,,,1,,,1122.4,,005U0000000HtWKIA0,1.61492E+12,,,1,DX Units < 5.42 Tons,,0.341,287.92,0,1,0,Sibley MN3,2020-06-25,Cool EER-SEER,2021-04-30,OID4173325-0001,Manufacturing
Cool SEER - MN,MN - RTUS < 5.42 tons,,1298,3,14,,2.83,,,0.659,727,500.91,1952.7,0.592708468,500.91,0.658564964,,,,,1952.7,,500.91,,726.5947253,424.5,MN1,MN3,Health/Medical - Hospital,,,,,DX Units < 5.42 Tons,,,0.64499,778.79,0,MN - HVAC+R Cooling - Prescriptive,HVAC+R Systems - MN,0,424.5,0,0,,0,0,,TRUE,,,,3,,,1952.7,,005U0000000HtWKIA0,1.615E+12,,,5,DX Units < 5.42 Tons,,0.593,500.91,0,3,0,Hennepin MN3,2021-03-03,Cool EER-SEER,2021-10-28,OID4359895-0005,Health/Medical - Hospital
Cool SEER - MN,MN - RTUS < 5.42 tons,,1298,2,14,,1.9,,,0.295,325,224.2,874,0.265287654,224.2,0.294764059,,,,,874,,224.2,,325.2131868,190,MN1,MN3,Health/Medical - Hospital,,,,,DX Units < 5.42 Tons,,,0.28823,348.15,0,MN - HVAC+R Cooling - Prescriptive,HVAC+R Systems - MN,0,190,0,0,,0,0,,TRUE,,,,2,,,874,,005U0000000HtWKIA0,1.615E+12,,,6,DX Units < 5.42 Tons,,0.265,224.2,0,2,0,Hennepin MN3,2021-03-03,Cool EER-SEER,2021-10-28,OID4359895-0006,Health/Medical - Hospital
